Prompt;Codestral
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: A vehicle idling for less than 1 hour or more than 5 hours in a day is not common.
It is infrequent for a vehicle to make fewer than 20 stops or exceed 300 stops in a day.
It is infrequent for a vehicle's engine speed to fall outside the range of 550 to 1600 rpm in a day.
Each day, axle 3 carries between 4500 and 7500 kg of load.
";" Python3 code:

# A vehicle idling for less than 1 hour or more than 5 hours in a day is not common.
def r1(idle_time: float) -> bool:
    return 1 <= idle_time <= 5

# It is infrequent for a vehicle to make fewer than 20 stops or exceed 300 stops in a day.
def r2(stops: int) -> bool:
    return 20 <= stops <= 300

# It is infrequent for a vehicle's engine speed to fall outside the range of 550 to 1600 rpm in a day.
def r3(engine_speed: int) -> bool:
    return 550 <= engine_speed <= 1600

# Each day, axle 3 carries between 4500 and 7500 kg of load.
def r4(load: float) -> bool:
    return 4500 <= load <= 7500"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: In a typical day, a vehicle spends 1 to 5 hours driving.
In a typical day, a vehicle's payload ranges from 0 to 11000 kg.
It is unusual for a vehicle to consume less than 10 dm³ or more than 100 dm³ of fuel in a day.
In a typical day, a vehicle performs 50 to 300 compaction cycles.
";" Python3 code:

# In a typical day, a vehicle spends 1 to 5 hours driving.
def driving_hours(hours: float) -> bool:
    return 1 <= hours <= 5

# In a typical day, a vehicle's payload ranges from 0 to 11000 kg.
def payload_weight(weight: float) -> bool:
    return 0 <= weight <= 11000

# It is unusual for a vehicle to consume less than 10 dm³ or more than 100 dm³ of fuel in a day.
def fuel_consumption(volume: float) -> bool:
    return 10 <= volume <= 100

# In a typical day, a vehicle performs 50 to 300 compaction cycles.
def compaction_cycles(cycles: int) -> bool:
    return 50 <= cycles <= 300"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: It is unlikely for a vehicle to operate for less than 2 hours or more than 10 hours in a typical day.
It is rare for a vehicle to idle for less than 1 hour or more than 5 hours in a day.
In a typical day, a vehicle's axle 2 load is between 7000 and 11500 kg.
In a typical day, a vehicle's axle 3 load is between 4500 and 7500 kg.
";" Python3 code:

# It is unlikely for a vehicle to operate for less than 2 hours or more than 10 hours in a typical day.
def r1(operating_hours: float) -> bool:
    return 2 <= operating_hours <= 10

# It is rare for a vehicle to idle for less than 1 hour or more than 5 hours in a day.
def r2(idling_hours: float) -> bool:
    return 1 <= idling_hours <= 5

# In a typical day, a vehicle's axle 2 load is between 7000 and 11500 kg.
def r3(axle2_load: float) -> bool:
    return 7000 <= axle2_load <= 11500

# In a typical day, a vehicle's axle 3 load is between 4500 and 7500 kg.
def r4(axle3_load: float) -> bool:
    return 4500 <= axle3_load <= 7500"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: A vehicle typically operates for 2 to 10 hours each day.
On a normal day, the PTO operates for 0.2 to 5 hours.
It is unlikely for a vehicle to make fewer than 20 stops or more than 300 stops in a day.
A vehicle making fewer than 20 stops with PTO engaged or more than 250 stops in a day is uncommon.
";" Python3 code:

# A vehicle typically operates for 2 to 10 hours each day.
def vehicle_operating_hours(hours: float) -> bool:
    return 2 <= hours <= 10

# On a normal day, the PTO operates for 0.2 to 5 hours.
def pto_operating_hours(hours: float) -> bool:
    return 0.2 <= hours <= 5

# It is unlikely for a vehicle to make fewer than 20 stops or more than 300 stops in a day.
def vehicle_stops(stops: int) -> bool:
    return 20 <= stops <= 300

# A vehicle making fewer than 20 stops with PTO engaged or more than 250 stops in a day is uncommon.
def vehicle_stops_with_pto(stops: int) -> bool:
    return 20 <= stops <= 250"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: In a typical day, a vehicle's total operational time ranges from 2 to 10 hours.
It is rare for a vehicle to idle for less than 1 hour or more than 5 hours in a day.
In a typical day, a vehicle's speed ranges from 0 to 80 km/h.
In a typical day, a vehicle's total fuel consumption is between 10 and 100 dm³.
";" Python3 code:

# In a typical day, a vehicle's total operational time ranges from 2 to 10 hours.
def operational_time(time: float) -> bool:
    return 2 <= time <= 10

# It is rare for a vehicle to idle for less than 1 hour or more than 5 hours in a day.
def idle_time(time: float) -> bool:
    return 1 <= time <= 5

# In a typical day, a vehicle's speed ranges from 0 to 80 km/h.
def vehicle_speed(speed: float) -> bool:
    return 0 <= speed <= 80

# In a typical day, a vehicle's total fuel consumption is between 10 and 100 dm³.
def fuel_consumption(consumption: float) -> bool:
    return 10 <= consumption <= 100"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: A vehicle's PTO operates for 0.2 to 5 hours in a typical day.
It is uncommon for a vehicle to spend less than 1 hour or more than 5 hours driving in a day.
Normally, a vehicle makes 20 to 300 stops in a day.
A vehicle uses between 10 and 100 dm³ of fuel in a typical day.
";" Python3 code:

# A vehicle's PTO operates for 0.2 to 5 hours in a typical day.
def r1(pto_hours: float) -> bool:
    return 0.2 <= pto_hours <= 5

# It is uncommon for a vehicle to spend less than 1 hour or more than 5 hours driving in a day.
def r2(driving_hours: float) -> bool:
    return 1 <= driving_hours <= 5

# Normally, a vehicle makes 20 to 300 stops in a day.
def r3(stops: int) -> bool:
    return 20 <= stops <= 300

# A vehicle uses between 10 and 100 dm³ of fuel in a typical day.
def r4(fuel_usage: float) -> bool:
    return 10 <= fuel_usage <= 100"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: It is uncommon for a vehicle to travel less than 20 km or more than 110 km in a typical day.
In a typical day, a vehicle's total operational time ranges from 2 to 10 hours.
It is rare for a vehicle to idle for less than 1 hour or more than 5 hours in a day.
On a usual day, refueling takes between 0.08 and 0.2 hours.
";" Python3 code:

# It is uncommon for a vehicle to travel less than 20 km or more than 110 km in a typical day.
def r1(distance: float) -> bool:
    return 20 <= distance <= 110

# In a typical day, a vehicle's total operational time ranges from 2 to 10 hours.
def r2(operational_time: float) -> bool:
    return 2 <= operational_time <= 10

# It is rare for a vehicle to idle for less than 1 hour or more than 5 hours in a day.
def r3(idle_time: float) -> bool:
    return 1 <= idle_time <= 5

# On a usual day, refueling takes between 0.08 and 0.2 hours.
def r4(refueling_time: float) -> bool:
    return 0.08 <= refueling_time <= 0.2"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: Each typical day, a vehicle stops between 20 and 300 times.
It is rare for a vehicle to operate outside the speed range of 0 to 80 km/h in a typical day.
It is uncommon for axle 3 to carry less than 4500 kg or more than 7500 kg in a day.
In a typical day, a vehicle performs 50 to 300 lifter cycles.
";" Python3 code:

# Each typical day, a vehicle stops between 20 and 300 times.
def r1(stops: int) -> bool:
    return 20 <= stops <= 300

# It is rare for a vehicle to operate outside the speed range of 0 to 80 km/h in a typical day.
def r2(speed: float) -> bool:
    return 0 <= speed <= 80

# It is uncommon for axle 3 to carry less than 4500 kg or more than 7500 kg in a day.
def r3(axle3_weight: float) -> bool:
    return 4500 <= axle3_weight <= 7500

# In a typical day, a vehicle performs 50 to 300 lifter cycles.
def r4(lifter_cycles: int) -> bool:
    return 50 <= lifter_cycles <= 300"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: Typically, a vehicle idles for 1 to 5 hours daily.
It is not common for a vehicle to drive for less than 1 hour or more than 5 hours in a day.
In a typical day, a vehicle's engine speed is between 550 and 1600 rpm.
Each day, axle 3 carries between 4500 and 7500 kg of load.
";" Python3 code:

# Typically, a vehicle idles for 1 to 5 hours daily.
def idle_time(hours: float) -> bool:
    return 1 <= hours <= 5

# It is not common for a vehicle to drive for less than 1 hour or more than 5 hours in a day.
def drive_time(hours: float) -> bool:
    return 1 <= hours <= 5

# In a typical day, a vehicle's engine speed is between 550 and 1600 rpm.
def engine_speed(rpm: float) -> bool:
    return 550 <= rpm <= 1600

# Each day, axle 3 carries between 4500 and 7500 kg of load.
def axle_load(kg: float) -> bool:
    return 4500 <= kg <= 7500"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: It is not common for axle 1 to carry less than 2000 kg or more than 8000 kg in a day.
Each day, axle 2 carries between 7000 and 11500 kg of load.
A vehicle uses between 10 and 100 dm³ of fuel in a typical day.
On a normal day, a vehicle completes 50 to 300 lifter cycles.
";" Python3 code:

# It is not common for axle 1 to carry less than 2000 kg or more than 8000 kg in a day.
def axle1_load(load: float) -> bool:
    return 2000 <= load <= 8000

# Each day, axle 2 carries between 7000 and 11500 kg of load.
def axle2_load(load: float) -> bool:
    return 7000 <= load <= 11500

# A vehicle uses between 10 and 100 dm³ of fuel in a typical day.
def fuel_usage(usage: float) -> bool:
    return 10 <= usage <= 100

# On a normal day, a vehicle completes 50 to 300 lifter cycles.
def lifter_cycles(cycles: int) -> bool:
    return 50 <= cycles <= 300"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: During a normal day, a vehicle is driven for 1 to 5 hours.
Normally, a vehicle makes 20 to 300 stops in a day.
On a normal day, a vehicle performs 50 to 300 compaction cycles.
On a usual day, refueling takes between 0.08 and 0.2 hours.
";" Python3 code:

# During a normal day, a vehicle is driven for 1 to 5 hours.
def r1(hours_driven: float) -> bool:
    return 1 <= hours_driven <= 5

# Normally, a vehicle makes 20 to 300 stops in a day.
def r2(stops_made: int) -> bool:
    return 20 <= stops_made <= 300

# On a normal day, a vehicle performs 50 to 300 compaction cycles.
def r3(compaction_cycles: int) -> bool:
    return 50 <= compaction_cycles <= 300

# On a usual day, refueling takes between 0.08 and 0.2 hours.
def r4(refueling_time: float) -> bool:
    return 0.08 <= refueling_time <= 0.2"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: In a typical day, a vehicle travels between 20 and 110 km.
Normally, a vehicle makes 20 to 300 stops in a day.
On a typical day, the load on axle 3 ranges from 4500 to 7500 kg.
Refueling a vehicle takes 0.08 to 0.2 hours in a typical day.
";" Python3 code:

# In a typical day, a vehicle travels between 20 and 110 km.
def r1(distance: float) -> bool:
    return 20 <= distance <= 110

# Normally, a vehicle makes 20 to 300 stops in a day.
def r2(stops: int) -> bool:
    return 20 <= stops <= 300

# On a typical day, the load on axle 3 ranges from 4500 to 7500 kg.
def r3(load: float) -> bool:
    return 4500 <= load <= 7500

# Refueling a vehicle takes 0.08 to 0.2 hours in a typical day.
def r4(refuel_time: float) -> bool:
    return 0.08 <= refuel_time <= 0.2"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: It is not typical for the PTO to be engaged for under 0.2 hours or over 5 hours in a day.
Each day, axle 2 carries between 7000 and 11500 kg of load.
On a typical day, the load on axle 3 ranges from 4500 to 7500 kg.
A vehicle's payload varies from 0 to 11000 kg in a typical day.
";" Python3 code:

# It is not typical for the PTO to be engaged for under 0.2 hours or over 5 hours in a day.
def r1(pto: float) -> bool:
    return 0.2 <= pto <= 5

# Each day, axle 2 carries between 7000 and 11500 kg of load.
def r2(axle2_load: float) -> bool:
    return 7000 <= axle2_load <= 11500

# On a typical day, the load on axle 3 ranges from 4500 to 7500 kg.
def r3(axle3_load: float) -> bool:
    return 4500 <= axle3_load <= 7500

# A vehicle's payload varies from 0 to 11000 kg in a typical day.
def r4(payload: float) -> bool:
    return 0 <= payload <= 11000"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: It is uncommon for a vehicle to spend less than 1 hour or more than 5 hours driving in a day.
It is rare for a vehicle to operate outside the speed range of 0 to 80 km/h in a typical day.
It is infrequent for axle 3 to carry less than 4500 kg or more than 7500 kg in a day.
In a typical day, a vehicle's payload ranges from 0 to 11000 kg.
";" Python3 code:

# It is uncommon for a vehicle to spend less than 1 hour or more than 5 hours driving in a day.
def r1(hours: float) -> bool:
    return 1 <= hours <= 5

# It is rare for a vehicle to operate outside the speed range of 0 to 80 km/h in a typical day.
def r2(speed: float) -> bool:
    return 0 <= speed <= 80

# It is infrequent for axle 3 to carry less than 4500 kg or more than 7500 kg in a day.
def r3(weight: float) -> bool:
    return 4500 <= weight <= 7500

# In a typical day, a vehicle's payload ranges from 0 to 11000 kg.
def r4(payload: float) -> bool:
    return 0 <= payload <= 11000"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: A vehicle typically operates for 2 to 10 hours each day.
A vehicle spends 1 to 5 hours driving each typical day.
It is not typical for a vehicle to have a payload outside the range of 0 to 11000 kg in a day.
In a typical day, a vehicle completes 50 to 300 compaction cycles.
";" Python3 code:

# A vehicle typically operates for 2 to 10 hours each day.
def r1(operating_hours: float) -> bool:
    return 2 <= operating_hours <= 10

# A vehicle spends 1 to 5 hours driving each typical day.
def r2(driving_hours: float) -> bool:
    return 1 <= driving_hours <= 5

# It is not typical for a vehicle to have a payload outside the range of 0 to 11000 kg in a day.
def r3(payload: float) -> bool:
    return 0 <= payload <= 11000

# In a typical day, a vehicle completes 50 to 300 compaction cycles.
def r4(compaction_cycles: int) -> bool:
    return 50 <= compaction_cycles <= 300"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.
A vehicle remains D param between 1 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5

# A vehicle remains D param between 1 and 5 in a typical day.
def r4(d: float) -> bool:
    return 1 <= d <= 5


Input text:
Textual context: During a typical day, a vehicle covers a distance of 20 to 110 km.
Each day, axle 2 carries between 7000 and 11500 kg of load.
It is rare for a vehicle to consume less than 10 dm³ or more than 100 dm³ of fuel in a day.
It is not typical for a vehicle to refuel in less than 0.08 hours or more than 0.2 hours in a day.
";" Python3 code:

# During a typical day, a vehicle covers a distance of 20 to 110 km.
def r1(distance: float) -> bool:
    return 20 <= distance <= 110

# Each day, axle 2 carries between 7000 and 11500 kg of load.
def r2(load: float) -> bool:
    return 7000 <= load <= 11500

# It is rare for a vehicle to consume less than 10 dm³ or more than 100 dm³ of fuel in a day.
def r3(fuel_consumption: float) -> bool:
    return 10 <= fuel_consumption <= 100

# It is not typical for a vehicle to refuel in less than 0.08 hours or more than 0.2 hours in a day.
def r4(refuel_time: float) -> bool:
    return 0.08 <= refuel_time <= 0.2"
